"Create repository","Crear repositorio"
"Create a new repository to manage your sources.","Crea un nuevo repositorio para gestionar tus archivos."
"New repository data","Nuevos datos de repositorio"
"Repository name","Nombre de repositorio"
"Type","Tipo"
"File System (Recommended)","Sistema de Ficheros (Recomendado)"
"Berkly DB","Berkeley DB"
"Valid signs for repository name are","Carácteres válidos para el nombre del repositorio son"
"Underscore","Subrayado"
"Hyphen","Guión"
"No space!","No espacios!"
"Create trunk,branch,tag","Crear trunk, branch, tag"
"Set project manager","Ponerme como gestor de proyecto"
"Set project manager read &amp; write permissions","Asignarme permisos de lectura y escritura "
"Allow project manager read &amp; write permissions","Permitir al gestor del proyecto permisos de lectura &amp; escritura"
