"Language","Sprache"
"Translated by","Übersetzt von"
"Repositories","Repositories"
"Users","Benutzer"
"Groups","Gruppen"
"Memberships","Mitgliedschaften"
"Access-Paths","Zugriffspfade"
"Permissions","Berechtigungen"
"Role","Rolle"
"Roles","Rollen"
"Logout","Ausloggen"
"Login","Einloggen"
"Change password","Passwort ändern"
"Filter","Filter"
"User","Benutzer"
"Group","Gruppe"
"Access-Path","Zugriffspfad"
"Permission","Berechtigung"
"Delete","Löschen"
"List","Übersicht"
"Add","Hinzufügen"
"Assign","Zuweisen"
"Unassign","Entfernen"
"Create","Erstellen"
"Are you sure?","Sind Sie sich wirklich sicher?"
"Settings","Einstellungen"
"Backend","Datenquelle"
"Synchronize","Synchronisieren"
"Welcome","Willkommen"
"Show roles","Verfügbare Rollen"
"Description","Beschreibung"
"Back to overview","Zurück zur Übersicht"
