"Language","Мова"
"Translated by","Переклав"
"Repositories","Репозиторії"
"Users","Користувачі"
"Groups","Групи"
"Memberships","Членства"
"Access-Paths","Шляхи доступу"
"Permissions","Дозволи"
"Role","Роль"
"Roles","Ролі"
"Logout","Вихід"
"Login","Вхід"
"Change password","Зміна паролю"
"Filter","Фільтр"
"User","Користувач"
"Group","Група"
"Access-Path","Шлях доступу"
"Permission","Дозвіл"
"Delete","Видалити"
"Home","Домівка"
"List","Список"
"Add","Додати"
"Session","Сесія"
"Assign","Призначити"
"Unassign","Скасувати"
"Create","Створити"
"Are you sure?","Ви впевнені?"
"Settings","Налаштування"
"Backend","Сервер"
"Synchronize","Синхронізувати"
"Welcome","Ласкаво просимо"
"Show roles","Показати ролі"
"Description","Опис"
"Back to overview","Назад"
