"Create repository","Repository erstellen"
"Create a new repository to manage your sources.","Erstellen Sie ein neues Repository um Ihre Projekte zu verwalten."
"New repository data","Neue Repository Daten"
"Repository name","Repository Name"
"Type","Typ"
"File System (Recommended)","Dateisystem (Empfohlen)"
"Berkly DB","Berkly DB"
"Valid signs for repository name are","Gültige Zeichen für einen Repository Namen sind"
"Underscore","Unterstrich"
"Hyphen","Bindestrich"
"No space!","Kein Leerzeichen!"
"Project name","Projektname"
"Pre-defined repository structure","Vordefinierte Repository Struktur"
"No pre-defined structure","Keine vordefinierte Struktur erstellen"
"Single project structure","Struktur für ein einzelnes Projekt erstellen"
"Multi project structure","Struktur für mehrere Projekte erstellen"
"Creates the folders 'trunk', 'branches' and 'tags' in the root of the repository.","Erstellt die Ordner 'trunk', 'branches' und 'tags' unmittelbar im Hauptverzeichnis des Repositories."
"The folders 'trunk', 'branches' and 'tags' will be created in a subfolder, which is named by the project's name.","Erstellt die Ordner 'trunk', 'branches' und 'tags' im Unterordner, welcher nach dem Projekt benannt ist."
