"Create repository","Створити репозиторій"
"Create a new repository to manage your sources.","Створити новий репозиторій для керування файлами вашого проекту."
"New repository data","Дані новго репозиторію"
"Repository name","Назва репозиторію"
"Type","Тип"
"File System (Recommended)","Файлова система (рекомендовано)"
"Berkly DB","Berkeley DB"
"Valid signs for repository name are","Допустимими символами для назви репозиторію є"
"Underscore","Знак підкреслення"
"Hyphen","Дефіс"
"No space!","Без пропусків!"
"Pre-defined repository structure","Структура репозиторію"
"No pre-defined structure","Порожній репозиторій"
"Single project structure","Репозиторій для одного проекту"
"Multi project structure","Репозиторій для кількох проектів"
"Creates the folders 'trunk', 'branches' and 'tags' in the root of the repository.","Створює папки 'trunk', 'branches' і 'tags' в корені репозиторію."
"Project name","Назва проекта"
"The folders 'trunk', 'branches' and 'tags' will be created in a subfolder, which is named by the project's name.","Папки 'trunk', 'branches' і 'tags' будуть створені в підпапці з назвою проекта."
