"Create repository","创建代码仓库"
"Create a new repository to manage your sources.","创建代码仓库来管理您的资源."
"New repository data","新代码仓库数据"
"Repository name","代码仓库名字"
"Type","类型"
"File System (Recommended)","文件系统(推荐)"
"Berkly DB","Berkly DB"
"Valid signs for repository name are","合法的代码仓库名字为"
"Underscore","下划线"
"Hyphen","连字符"
"No space!","切忌空格!(======> 管理员推荐仅使用英文或数字作为仓库名称)"
"Repository location","代码仓库根路径"
"Berkly DB","Berkly DB(不推荐)"
"Pre-defined repository structure","预定义的存储库结构"
"No pre-defined structure","无预定义结构"
"Single project structure","单项目结构"
"Multi project structure","多项目结构"
"Creates the folders 'trunk', 'branches' and 'tags' in the root of the repository.","在仓库根节点创建'trunk', 'branches'和'tags'目录"
"Project name","项目名称"
"The folders 'trunk', 'branches' and 'tags' will be created in a subfolder, which is named by the project's name.","在项目名称命名的子目录下面创建'trunk', 'branches'和'tags'目录"
"Back to overview","返回到代码仓库列表"
"Repository Description","仓库描述信息"
"Repository Description. simple summary.","仓库的总结描述信息"
"Create repository: ","创建仓库: "
"Reason for creating the repository","创建仓库的原因"
"Why you create this repository.","为什么要创建此仓库，添加原因说明"
