"Create repository","リポジトリの作成"
"Create a new repository to manage your sources.","新しいリポジトリを作成します。"
"New repository data","新リポジトリのパラメータ"
"Repository name","リポジトリ名称"
"Type","タイプ"
"File System (Recommended)","ファイルシステム(推奨)"
"Berkly DB","Berkeley DB"
"Valid signs for repository name are","リポジトリ名称として有効な文字は"
"Underscore","下線"
"Hyphen","ハイフン"
"No space!","スペースを含まない!"
"Create trunk,branch,tag","trunk, branch, tagの作成"
"Set project manager","プロジェクト管理者の設定"
"Set project manager read &amp; write permissions","プロジェクト管理者に読込み/書込みパーミッションを設定"
"Allow project manager read &amp; write permissions","プロジェクト管理者に読込み/書込みを許可"
