"Language","Idioma"
"Translated by","Traducid por"
"Repositories","Repositorios"
"Users","Usuarios"
"Groups","Grupos"
"Memberships","Miembros"
"Access-Paths","Paths de Acceso"
"Permissions","Permisos"
"Role","Rol"
"Roles","Roles"
"Logout","Cierra sesión"
"Login","Iniciar sesión"
"Change password","Cambio de password"
"Filter","Filtro"
"User","Usuario"
"Group","Grupo"
"Access-Path","Path de Acceso"
"Permission","Permiso"
"Delete","Elimina"
"List","Lista"
"Add","Crea"
"Assign","Asigna"
"Unassign","Denegar"
"Create","Crear"
"Are you sure?","¿Está seguro?"
"Settings","Opciones"
"Backend","Configuración"
"Synchronize","Sincronizar"
"Welcome","Bienvenido"
"Show roles","Muestra roles"
"Description","Descripción"
