"Create repository","Criar repositório"
"Create a new repository to manage your sources.","Cria um novo repositório para gerenciar seus arquivos"
"New repository data","Novo dado de repositório"
"Repository name","Nome do repositório"
"Repository location","Local do repositório"
"Type","Tipo"
"File System (Recommended)","Sistema de arquivos (Recomendado)"
"Berkly DB","Berkeley DB"
"Valid signs for repository name are","Os caracteres válidos para o nome do repositório são"
"Underscore","underline"
"Hyphen","Hífen"
"No space!","Sem espaços!"
"Create trunk,branch,tag","Criar trunk, branch, tag"
"Set project manager","Set project manager"
"Set project manager read &amp; write permissions","Set project manager read &amp; write permissions"
"Allow project manager read &amp; write permissions","Allow project manager read &amp; write permissions"
"Pre-defined repository structure","Estrutura do repositório pré-definido"
"No pre-defined structure","Sem estrutura pré-definida"
"Single project structure","Estrutura de projeto único"
"Multi project structure","Estrutura multi projeto"
