"Language","Idioma"
"Translated by","Traduzido por"
"Repository","Repositório"
"Repositories","Repositórios"
"Users","Usuários"
"Groups","Grupos"
"Memberships","Membros"
"Access-Paths","Pastas de acesso"
"Permissions","Permissões"
"Role","Regra"
"Roles","Regras"
"Logout","Logout"
"Login","Login"
"Change password","Alterar senha"
"Filter","Filtro"
"User","Usuário"
"Group","Grupo"
"Access-Path","Pasta de acesso"
"Permission","Permissão"
"Delete","Remover"
"List","Listar"
"Add","Adicionar"
"Assign","Associar"
"Unassign","Desassociar"
"Create","Criar"
"Are you sure?","Você tem certeza?"
"Settings","Opções"
"Backend","Configuração"
"Synchronize","Sincronizar"
"Welcome","Bem vindo"
"Show roles","Exibir regras"
"Description","Descrição"
"Session","Sessão"
"Home","Inicial"
"Back to overview","Voltar para a visão geral"
